	w1	w2	judgement	path	path.cov	lch	lch.cov	wup	wup.cov	res	res.cov	jcn	jcn.cov	lin	lin.cov
0	tiger	cat	7.35	0.0909	1	1.2397	1	0.5455	1	2.15	1	0.0607	1	0.207	1
1	tiger	tiger	10.0	1.0	1	3.6376	1	0.75	1	2.2677	1		0	0.1978	1
2	plane	car	5.77	0.1111	1	1.4404	1	0.6667	1	5.871	1	0.1845	1	0.6842	1
3	train	car	6.31	0.125	1	1.5581	1	0.6667	1	5.5982	1	0.1558	1	0.6357	1
4	television	radio	6.77	0.3333	1	2.539	1	0.9	1	8.1683	1	0.5157	1	0.8939	1
5	media	radio	7.42	0.25	1	2.2513	1	0.7059	1	3.4828	1	0.1043	1	0.4209	1
6	bread	butter	6.19	0.25	1	2.2513	1	0.75	1	6.8606	1	0.1721	1	0.7025	1
7	cucumber	potato	5.92	0.0588	1	0.8044	1	0.2	1	0.7747	1	0.047	1	0.0679	1
8	doctor	nurse	7.0	0.25	1	2.2513	1	0.8696	1	7.2363	1	0.4165	1	0.8577	1
9	professor	doctor	6.62	0.1429	1	1.6917	1	0.5	1	6.0948	1	0.2309	1	0.7378	1
10	student	professor	6.81	0.125	1	1.5581	1	0.5714	1	2.2677	1	0.0836	1	0.2748	1
11	smart	stupid	5.81	0.0714	1	0.9985	1	0.1333	1	-0.0	1	0.0504	1	-0.0	1
12	wood	forest	7.73	0.0909	1	1.2397	1	0.2857	1	0.6182	1	0.0621	1	0.0713	1
13	money	cash	9.15	0.25	1	2.2513	1	0.8	1	6.0657	1	0.2666	1	0.7639	1
14	king	queen	8.58	0.1	1	1.335	1	0.5714	1	2.15	1	0.0724	1	0.2374	1
15	king	rook	5.92	0.0714	1	0.9985	1	0.381	1	1.596	1	0.0706	1	0.1839	1
16	bishop	rabbi	6.69	0.2	1	2.0281	1	0.5455	1	6.7079	1	0.1294	1	0.6345	1
17	fuck	sex	9.44	0.3333	1	2.539	1	0.7143	1	6.1085	1	0.2393	1	0.7451	1
18	football	soccer	9.03	0.5	1	2.9444	1	0.88	1	8.4685	1	0.4229	1	0.8775	1
19	football	basketball	6.81	0.1667	1	1.8458	1	0.7826	1	7.9034	1	0.1706	1	0.7295	1
20	football	tennis	6.63	0.1667	1	1.8458	1	0.7826	1	7.9034	1	0.3471	1	0.8458	1
21	Arafat	Jackson	2.5	0.25	1	2.2513	1	0.5714	1	6.5052	1	0.0867	1	0.53	1
22	physics	chemistry	7.35	0.3333	1	2.539	1	0.9	1	7.9104	1	0.2362	1	0.7889	1
23	vodka	gin	8.46	0.3333	1	2.539	1	0.9091	1	8.6799	1	0.1693	1	0.7461	1
24	vodka	brandy	8.13	0.3333	1	2.539	1	0.9091	1	8.6799	1	0.2092	1	0.7841	1
25	drink	eat	6.87		0		0		0		0		0		0
26	car	automobile	8.94	1.0	1	3.6376	1	0.9167	1	7.3227	1		0	0.948	1
27	gem	jewel	8.96	0.125	1	1.5581	1	0.5882	1	2.5194	1	0.0598	1	0.2316	1
28	journey	voyage	9.29	0.25	1	2.2513	1	0.8571	1	6.5349	1	0.2306	1	0.7509	1
29	boy	lad	8.83	0.3333	1	2.539	1	0.6667	1	6.2178	1	0.1966	1	0.7097	1
30	coast	shore	9.1	0.5	1	2.9444	1	0.7273	1	6.1987	1	0.1376	1	0.6305	1
31	asylum	madhouse	8.87	0.125	1	1.5581	1	0.6316	1	4.1767	1	0.0696	1	0.3676	1
32	magician	wizard	9.02	0.1667	1	1.8458	1	0.6316	1	2.2677	1	0.0589	1	0.2109	1
33	midday	noon	9.29	1.0	1	3.6376	1	0.9	1	7.6137	1		0	0.718	1
34	furnace	stove	8.79	0.0769	1	1.0726	1	0.4545	1	2.5194	1	0.0661	1	0.25	1
35	food	fruit	7.52	0.0909	1	1.2397	1	0.2857	1	0.7747	1	0.092	1	0.1247	1
36	bird	cock	7.1	0.0625	1	0.865	1	0.2105	1	0.7747	1	0.0702	1	0.0981	1
37	bird	crane	7.38	0.1111	1	1.4404	1	0.6	1	2.15	1	0.065	1	0.2183	1
38	food	rooster	4.42	0.0625	1	0.865	1	0.2105	1	0.7747	1	0.0634	1	0.0895	1
39	money	dollar	8.42	0.1111	1	1.4404	1	0.4286	1	2.4564	1	0.0746	1	0.2683	1
40	money	currency	9.04	0.3333	1	2.539	1	0.8571	1	6.0657	1	0.5551	1	0.8707	1
41	tiger	jaguar	8.0	0.0833	1	1.1527	1	0.5217	1	2.15	1	0.0541	1	0.1887	1
42	tiger	feline	8.0	0.1	1	1.335	1	0.5714	1	2.15	1	0.0628	1	0.2125	1
43	tiger	carnivore	7.08	0.1111	1	1.4404	1	0.6	1	2.15	1	0.0674	1	0.2248	1
44	tiger	mammal	6.85	0.1429	1	1.6917	1	0.6667	1	2.15	1	0.0782	1	0.2516	1
45	tiger	animal	7.0	0.25	1	2.2513	1	0.8	1	2.15	1	0.0826	1	0.2622	1
46	tiger	organism	4.77	0.3333	1	2.539	1	0.7143	1	2.1471	1	0.1073	1	0.3155	1
47	tiger	fauna	5.62	0.1111	1	1.4404	1	0.2	1	-0.0	1	0.0425	1	-0.0	1
48	psychology	psychiatry	8.08	0.1429	1	1.6917	1	0.7273	1	6.5526	1	0.1251	1	0.6211	1
49	psychology	science	6.71	0.5	1	2.9444	1	0.8235	1	5.4911	1	0.2092	1	0.6968	1
50	psychology	discipline	5.58	0.3333	1	2.539	1	0.75	1	5.4698	1	0.2659	1	0.7442	1
51	planet	star	8.45	0.3333	1	2.539	1	0.8571	1	7.4856	1	0.5237	1	0.8869	1
52	planet	moon	8.08	0.25	1	2.2513	1	0.8	1	7.4856	1	0.2019	1	0.7514	1
53	planet	sun	8.02	0.25	1	2.2513	1	0.8	1	7.4856	1	0.2997	1	0.8177	1
54	precedent	example	5.85	0.5	1	2.9444	1	0.7692	1	5.1607	1	0.1085	1	0.5283	1
55	precedent	antecedent	6.04	0.0833	1	1.1527	1	0.1538	1	-0.0	1	0.0544	1	-0.0	1
56	cup	tableware	6.85	0.3333	1	2.539	1	0.7778	1	7.9001	1	0.4122	1	0.8669	1
57	cup	artifact	2.92	0.25	1	2.2513	1	0.6154	1	1.596	1	0.1038	1	0.2488	1
58	cup	object	3.69	0.1667	1	1.8458	1	0.3636	1	0.7747	1	0.0995	1	0.1336	1
59	cup	entity	2.15	0.125	1	1.5581	1		0	0	1	0	1	0.0	1
60	jaguar	cat	7.42	0.25	1	2.2513	1	0.8966	1	8.7734	1	0.3228	1	0.85	1
61	jaguar	car	7.27	0.0526	1	0.6931	1	0.3077	1	1.596	1	0.063	1	0.1675	1
62	mile	kilometer	8.66	0.25	1	2.2513	1	0.8	1	6.2736	1	0.1388	1	0.6353	1
63	skin	eye	6.22	0.125	1	1.5581	1	0.5882	1	4.8657	1	0.1157	1	0.5295	1
64	Japanese	American	6.5	0.25	1	2.2513	1	0.6316	1	5.685	1	0.1596	1	0.6447	1
65	century	year	7.59	0.3333	1	2.539	1	0.8333	1	3.8552	1	0.1314	1	0.5034	1
66	announcement	news	7.56	0.2	1	2.0281	1	0.6667	1	3.9398	1	0.0962	1	0.4311	1
67	doctor	personnel	5.0	0.0714	1	0.9985	1	0.1333	1	-0.0	1	0.0728	1	-0.0	1
68	Harvard	Yale	8.13	0.3333	1	2.539	1	0.8889	1	7.3757	1	0.1005	1	0.5972	1
69	hospital	infrastructure	4.63	0.0667	1	0.9295	1	0.125	1	-0.0	1	0.0506	1	-0.0	1
70	life	death	7.88	0.1	1	1.335	1	0.3077	1	0.6182	1	0.0645	1	0.0738	1
71	travel	activity	5.0	0.1667	1	1.8458	1	0.6667	1	2.4457	1	0.2023	1	0.4974	1
72	type	kind	8.97	0.5	1	2.9444	1	0.8421	1	6.2023	1	0.4702	1	0.8536	1
73	street	place	6.44	0.1	1	1.335	1	0.4	1	1.2908	1	0.0759	1	0.1638	1
74	street	avenue	8.88	0.0526	1	0.6931	1	0.1	1	-0.0	1	0.0511	1	-0.0	1
75	street	block	6.88	0.1667	1	1.8458	1	0.6667	1	2.5194	1	0.1045	1	0.3449	1
76	cell	phone	7.81	0.0909	1	1.2397	1	0.375	1	1.2908	1	0.0618	1	0.1376	1
77	dividend	payment	7.63	0.0833	1	1.1527	1	0.4211	1	4.3855	1	0.1226	1	0.5181	1
78	calculation	computation	8.44	1.0	1	3.6376	1	0.875	1	7.1219	1		0	0.8947	1
79	profit	loss	7.63	0.1111	1	1.4404	1	0.5	1	4.3855	1	0.1228	1	0.5186	1
80	dollar	yen	7.78	0.0833	1	1.1527	1	0.2667	1	0.6182	1	0.0467	1	0.0546	1
81	dollar	buck	9.22	0.0588	1	0.8044	1	0.1111	1	-0.0	1	0.043	1	-0.0	1
82	phone	equipment	7.13	0.3333	1	2.539	1	0.75	1	3.4828	1	0.1397	1	0.4932	1
83	liquid	water	7.89	0.1429	1	1.6917	1	0.4706	1	3.2906	1	0.1196	1	0.4405	1
84	marathon	sprint	7.47	0.0909	1	1.2397	1	0.5	1	2.4457	1	0.0562	1	0.2156	1
85	seafood	food	8.34	0.1667	1	1.8458	1	0.5455	1	2.963	1	0.1185	1	0.4125	1
86	seafood	lobster	8.7	0.3333	1	2.539	1	0.7143	1	6.043	1	0.1031	1	0.5548	1
87	lobster	food	7.81	0.125	1	1.5581	1	0.4615	1	2.963	1	0.0843	1	0.3331	1
88	lobster	wine	5.7	0.0909	1	1.2397	1	0.375	1	2.963	1	0.0676	1	0.286	1
89	championship	tournament	8.36	0.0909	1	1.2397	1	0.2857	1	0.6182	1	0.0596	1	0.0687	1
90	man	woman	8.3	0.3333	1	2.539	1	0.6667	1	4.9676	1	0.324	1	0.763	1
91	man	governor	5.25	0.1667	1	1.8458	1	0.6316	1	2.2677	1	0.0812	1	0.2693	1
92	murder	manslaughter	8.53	0.3333	1	2.539	1	0.9167	1	8.3514	1	0.3006	1	0.8339	1
93	opera	performance	6.88	0.0909	1	1.2397	1	0.2857	1	0.6182	1	0.0582	1	0.0671	1
94	Mexico	Brazil	7.44	0.2	1	2.0281	1	0.8	1	5.269	1	0.0906	1	0.4883	1
95	glass	metal	5.56	0.1667	1	1.8458	1	0.5455	1	2.963	1	0.1241	1	0.4238	1
96	aluminum	metal	7.83	0.5	1	2.9444	1	0.8	1	3.81	1	0.1563	1	0.5436	1
97	rock	jazz	7.59	0.0769	1	1.0726	1	0.1429	1	-0.0	1	0.0506	1	-0.0	1
98	museum	theater	7.19	0.1429	1	1.6917	1	0.625	1	2.5194	1	0.0811	1	0.2902	1
99	shower	thunderstorm	6.31	0.0714	1	0.9985	1	0.2353	1	0.7747	1	0.0431	1	0.0626	1
100	monk	oracle	5.0	0.125	1	1.5581	1	0.5714	1	2.2677	1	0.0635	1	0.2235	1
101	cup	food	5.0	0.1	1	1.335	1	0.3077	1	0.7747	1	0.0717	1	0.1	1
102	journal	association	4.97	0.1111	1	1.4404	1	0.3333	1	0.6182	1	0.0633	1	0.0726	1
103	street	children	4.94	0.0909	1	1.2397	1	0.4444	1	1.596	1	0.0781	1	0.1995	1
104	car	flight	4.94	0.0625	1	0.865	1	0.1176	1	-0.0	1	0.0526	1	-0.0	1
105	space	chemistry	4.88	0.0909	1	1.2397	1	0.2857	1	0.6182	1	0.0533	1	0.0618	1
106	situation	conclusion	4.81	0.0909	1	1.2397	1	0.2857	1	0.6182	1	0.071	1	0.0807	1
107	word	similarity	4.75	0.1111	1	1.4404	1	0.3333	1	0.6182	1	0.0726	1	0.0824	1
108	peace	plan	4.75	0.1	1	1.335	1	0.3077	1	0.6182	1	0.0666	1	0.0761	1
109	consumer	energy	4.75	0.1	1	1.335	1	0.3077	1	0.7747	1	0.0796	1	0.1097	1
110	ministry	culture	4.69	0.125	1	1.5581	1	0.5333	1	3.3075	1	0.0712	1	0.3203	1
111	smart	student	4.62	0.0714	1	0.9985	1	0.1333	1	-0.0	1	0.0567	1	-0.0	1
112	investigation	effort	4.59	0.0833	1	1.1527	1	0.3529	1	1.7116	1	0.0819	1	0.2189	1
113	image	surface	4.56	0.0833	1	1.1527	1	0.1538	1	-0.0	1	0.0622	1	-0.0	1
114	life	term	4.5	0.1	1	1.335	1	0.3077	1	0.6182	1	0.0591	1	0.0681	1
115	start	match	4.47	0.0667	1	0.9295	1	0.125	1	-0.0	1	0.053	1	-0.0	1
116	computer	news	4.47	0.0714	1	0.9985	1	0.1333	1	-0.0	1	0.064	1	-0.0	1
117	board	recommendation	4.47	0.0769	1	1.0726	1	0.25	1	0.6182	1	0.0544	1	0.0631	1
118	lad	brother	4.46	0.1429	1	1.6917	1	0.6	1	2.2677	1	0.0704	1	0.2421	1
119	observation	architecture	4.38	0.0667	1	0.9295	1	0.125	1	-0.0	1	0.0454	1	-0.0	1
120	coast	hill	4.38	0.2	1	2.0281	1	0.6667	1	6.1987	1	0.1411	1	0.6363	1
121	deployment	departure	4.25	0.2	1	2.0281	1	0.7143	1	2.4457	1	0.0748	1	0.2679	1
122	benchmark	index	4.25	0.25	1	2.2513	1	0.7692	1	5.9648	1	0.0858	1	0.5058	1
123	attempt	peace	4.25	0.1	1	1.335	1	0.3077	1	0.6182	1	0.0672	1	0.0767	1
124	consumer	confidence	4.13	0.0714	1	0.9985	1	0.1333	1	-0.0	1	0.0623	1	-0.0	1
125	start	year	4.06	0.1	1	1.335	1	0.3077	1	0.6182	1	0.0697	1	0.0793	1
126	focus	life	4.06	0.0833	1	1.1527	1	0.2667	1	0.6182	1	0.0556	1	0.0643	1
127	development	issue	3.97	0.0909	1	1.2397	1	0.375	1	1.7116	1	0.0664	1	0.1852	1
128	theater	history	3.91	0.0769	1	1.0726	1	0.1429	1	-0.0	1	0.0552	1	-0.0	1
129	situation	isolation	3.88	0.25	1	2.2513	1	0.7273	1	3.2944	1	0.1068	1	0.4131	1
130	profit	warning	3.88	0.0667	1	0.9295	1	0.2222	1	0.6182	1	0.0643	1	0.0736	1
131	media	trading	3.88	0.0714	1	0.9985	1	0.1333	1	-0.0	1	0.0624	1	-0.0	1
132	chance	credibility	3.88	0.1429	1	1.6917	1	0.5	1	2.4328	1	0.0939	1	0.3137	1
133	precedent	information	3.85	0.1111	1	1.4404	1	0.3333	1	0.6182	1	0.062	1	0.0712	1
134	architecture	century	3.78	0.0769	1	1.0726	1	0.1429	1	-0.0	1	0.0518	1	-0.0	1
135	population	development	3.75	0.0833	1	1.1527	1	0.2667	1	0.6182	1	0.0584	1	0.0673	1
136	stock	live	3.73		0		0		0		0		0		0
137	peace	atmosphere	3.69	0.2	1	2.0281	1	0.6667	1	3.2944	1	0.0902	1	0.3729	1
138	morality	marriage	3.69	0.125	1	1.5581	1	0.4615	1	2.4328	1	0.0903	1	0.3053	1
139	minority	peace	3.69	0.125	1	1.5581	1	0.3636	1	0.6182	1	0.0518	1	0.0602	1
140	atmosphere	landscape	3.69	0.0667	1	0.9295	1	0.125	1	-0.0	1	0.0539	1	-0.0	1
141	report	gain	3.63	0.1111	1	1.4404	1	0.3333	1	0.6182	1	0.0625	1	0.0718	1
142	music	project	3.63	0.1	1	1.335	1	0.3077	1	0.6182	1	0.0923	1	0.1024	1
143	seven	series	3.56	0.0909	1	1.2397	1	0.2857	1	0.6182	1	0.0764	1	0.0863	1
144	experience	music	3.47	0.1111	1	1.4404	1	0.3333	1	0.6182	1	0.0758	1	0.0857	1
145	school	center	3.44	0.0714	1	0.9985	1	0.1333	1	-0.0	1	0.076	1	-0.0	1
146	five	month	3.38	0.1111	1	1.4404	1	0.4286	1	2.4564	1	0.1307	1	0.3909	1
147	announcement	production	3.38	0.1111	1	1.4404	1	0.3333	1	0.6182	1	0.0591	1	0.0681	1
148	morality	importance	3.31	0.2	1	2.0281	1	0.6667	1	4.2037	1	0.175	1	0.5953	1
149	money	operation	3.31	0.1	1	1.335	1	0.3077	1	0.6182	1	0.0655	1	0.0749	1
150	delay	news	3.31	0.1111	1	1.4404	1	0.3333	1	0.6182	1	0.0642	1	0.0735	1
151	governor	interview	3.25	0.0625	1	0.865	1	0.1176	1	-0.0	1	0.0515	1	-0.0	1
152	practice	institution	3.19	0.1	1	1.335	1	0.3077	1	0.6182	1	0.0858	1	0.0959	1
153	century	nation	3.16	0.0909	1	1.2397	1	0.2857	1	0.6182	1	0.0688	1	0.0784	1
154	coast	forest	3.15	0.0909	1	1.2397	1	0.1667	1	-0.0	1	0.0527	1	-0.0	1
155	shore	woodland	3.08	0.2	1	2.0281	1	0.6	1	1.2908	1	0.0632	1	0.1404	1
156	drink	car	3.04	0.0588	1	0.8044	1	0.1111	1	-0.0	1	0.0581	1	-0.0	1
157	president	medal	3.0	0.0625	1	0.865	1	0.1176	1	-0.0	1	0.0504	1	-0.0	1
158	prejudice	recognition	3.0	0.0833	1	1.1527	1	0.2667	1	0.6182	1	0.0524	1	0.0608	1
159	viewer	serial	2.97	0.0769	1	1.0726	1	0.1429	1	-0.0	1	0.0521	1	-0.0	1
160	peace	insurance	2.94	0.1	1	1.335	1	0.3077	1	0.6182	1	0.0543	1	0.063	1
161	Mars	water	2.94	0.0833	1	1.1527	1	0.2667	1	0.7747	1	0.0507	1	0.0728	1
162	media	gain	2.88	0.0909	1	1.2397	1	0.1667	1	-0.0	1	0.064	1	-0.0	1
163	precedent	cognition	2.81	0.25	1	2.2513	1	0.5455	1	1.7116	1	0.0914	1	0.2383	1
164	announcement	effort	2.75	0.1	1	1.335	1	0.3077	1	0.6182	1	0.0665	1	0.0759	1
165	line	insurance	2.69	0.1	1	1.335	1	0.3077	1	0.6182	1	0.056	1	0.0647	1
166	crane	implement	2.69	0.1	1	1.335	1	0.4706	1	1.596	1	0.0641	1	0.1698	1
167	drink	mother	2.65	0.0625	1	0.865	1	0.1176	1	-0.0	1	0.0575	1	-0.0	1
168	opera	industry	2.63	0.0833	1	1.1527	1	0.2667	1	0.6182	1	0.0579	1	0.0668	1
169	volunteer	motto	2.56	0.0714	1	0.9985	1	0.1333	1	-0.0	1	0.0507	1	-0.0	1
170	listing	proximity	2.56	0.0769	1	1.0726	1	0.25	1	0.6182	1	0.0547	1	0.0633	1
171	precedent	collection	2.5	0.125	1	1.5581	1	0.3636	1	0.6182	1	0.064	1	0.0733	1
172	cup	article	2.4	0.1429	1	1.6917	1	0.625	1	2.5194	1	0.0789	1	0.2846	1
173	sign	recess	2.38	0.0909	1	1.2397	1	0.2857	1	0.6182	1	0.0456	1	0.0534	1
174	problem	airport	2.38	0.0714	1	0.9985	1	0.1333	1	-0.0	1	0.0581	1	-0.0	1
175	reason	hypertension	2.31	0.0833	1	1.1527	1	0.2667	1	0.6182	1	0.0591	1	0.0681	1
176	direction	combination	2.25	0.0909	1	1.2397	1	0.1667	1	-0.0	1	0.0537	1	-0.0	1
177	Wednesday	news	2.22	0.0833	1	1.1527	1	0.2667	1	0.6182	1	0.0622	1	0.0714	1
178	glass	magician	2.08	0.1111	1	1.4404	1	0.3333	1	0.7747	1	0.0487	1	0.0702	1
179	cemetery	woodland	2.08	0.1111	1	1.4404	1	0.4286	1	1.2908	1	0.0597	1	0.1336	1
180	possibility	girl	1.94	0.0714	1	0.9985	1	0.1333	1	-0.0	1	0.0563	1	-0.0	1
181	cup	substance	1.92	0.1111	1	1.4404	1	0.3333	1	0.7747	1	0.083	1	0.1139	1
182	forest	graveyard	1.85	0.0714	1	0.9985	1	0.1333	1	-0.0	1	0.0519	1	-0.0	1
183	stock	egg	1.81	0.0625	1	0.865	1	0.1176	1	-0.0	1	0.0483	1	-0.0	1
184	month	hotel	1.81	0.0769	1	1.0726	1	0.1429	1	-0.0	1	0.0755	1	-0.0	1
185	energy	secretary	1.81	0.0909	1	1.2397	1	0.2857	1	0.7747	1	0.067	1	0.094	1
186	precedent	group	1.77	0.1429	1	1.6917	1	0.4	1	0.6182	1	0.0753	1	0.0852	1
187	production	hike	1.75	0.125	1	1.5581	1	0.5882	1	2.4457	1	0.0662	1	0.2447	1
188	stock	phone	1.62	0.0667	1	0.9295	1	0.125	1	-0.0	1	0.0523	1	-0.0	1
189	holy	sex	1.62	0.1	1	1.335	1	0.3077	1	0.7747	1	0.0624	1	0.0882	1
190	stock	CD	1.31	0.1	1	1.335	1	0.4	1	2.7155	1	0.0605	1	0.2475	1
191	drink	ear	1.31	0.0714	1	0.9985	1	0.1333	1	-0.0	1	0.0495	1	-0.0	1
192	delay	racism	1.19	0.0833	1	1.1527	1	0.2667	1	0.6182	1	0.0533	1	0.0618	1
193	stock	life	0.92	0.1	1	1.335	1	0.3077	1	0.6182	1	0.0534	1	0.062	1
194	stock	jaguar	0.92	0.0476	1	0.5931	1	0.0909	1	-0.0	1	0.0456	1	-0.0	1
195	monk	slave	0.92	0.2	1	2.0281	1	0.6667	1	2.2677	1	0.0707	1	0.2428	1
196	lad	wizard	0.92	0.2	1	2.0281	1	0.6667	1	2.2677	1	0.073	1	0.2488	1
197	sugar	approach	0.88	0.0526	1	0.6931	1	0.1	1	-0.0	1	0.0507	1	-0.0	1
198	rooster	voyage	0.62	0.0417	1	0.4595	1	0.08	1	-0.0	1	0.0451	1	-0.0	1
199	noon	string	0.54	0.0588	1	0.8044	1	0.1111	1	-0.0	1	0.0451	1	-0.0	1
200	chord	smile	0.54	0.0909	1	1.2397	1	0.2857	1	0.6182	1	0.0538	1	0.0624	1
201	professor	cucumber	0.31	0.0769	1	1.0726	1	0.5	1	2.15	1	0.0565	1	0.1955	1
202	king	cabbage	0.23	0.0769	1	1.0726	1	0.25	1	0.7747	1	0.0602	1	0.0853	1
