activity	travel	5
airport	problem	2.38
aluminum	metal	7.83
American	Japanese	6.5
animal	tiger	7
announcement	news	7.56
announcement	production	3.38
announcement	effort	2.75
approach	sugar	0.88
architecture	century	3.78
article	cup	2.4
association	journal	4.97
atmosphere	landscape	3.69
atmosphere	peace	3.69
attempt	peace	4.25
automobile	car	8.94
avenue	street	8.88
basketball	football	6.81
benchmark	index	4.25
bird	crane	7.38
bird	cock	7.1
bishop	rabbi	6.69
block	street	6.88
board	recommendation	4.47
boy	lad	8.83
brandy	vodka	8.13
Brazil	Mexico	7.44
bread	butter	6.19
brother	lad	4.46
buck	dollar	9.22
cabbage	king	0.23
car	plane	5.77
car	train	6.31
car	jaguar	7.27
car	flight	4.94
car	drink	3.04
carnivore	tiger	7.08
cash	money	9.15
cat	tiger	7.35
cat	jaguar	7.42
CD	stock	1.31
cell	phone	7.81
cemetery	woodland	2.08
center	school	3.44
century	year	7.59
century	nation	3.16
championship	tournament	8.36
chance	credibility	3.88
chemistry	physics	7.35
chemistry	space	4.88
children	street	4.94
chord	smile	0.54
coast	forest	3.15
coast	shore	9.1
coast	hill	4.38
collection	precedent	2.5
combination	direction	2.25
computer	news	4.47
conclusion	situation	4.81
confidence	consumer	4.13
consumer	energy	4.75
cucumber	potato	5.92
culture	ministry	4.69
cup	food	5
cup	object	3.69
cup	substance	1.92
cup	entity	2.15
currency	money	9.04
death	life	7.88
delay	news	3.31
delay	racism	1.19
departure	deployment	4.25
development	issue	3.97
development	population	3.75
discipline	psychology	5.58
dividend	payment	7.63
doctor	nurse	7
doctor	professor	6.62
doctor	personnel	5
dollar	yen	7.78
dollar	money	8.42
drink	eat	6.87
drink	mother	2.65
drink	ear	1.31
effort	investigation	4.59
egg	stock	1.81
energy	secretary	1.81
equipment	phone	7.13
example	precedent	5.85
experience	music	3.47
eye	skin	6.22
fauna	tiger	5.62
feline	tiger	8
five	month	3.38
focus	life	4.06
food	fruit	7.52
food	lobster	7.81
food	seafood	8.34
food	rooster	4.42
football	soccer	9.03
football	tennis	6.63
forest	wood	7.73
forest	graveyard	1.85
fuck	sex	9.44
furnace	stove	8.79
gain	report	3.63
gain	media	2.88
gem	jewel	8.96
gin	vodka	8.46
girl	possibility	1.94
glass	metal	5.56
glass	magician	2.08
governor	man	5.25
governor	interview	3.25
group	precedent	1.77
Harvard	Yale	8.13
hike	production	1.75
history	theater	3.91
holy	sex	1.62
hospital	infrastructure	4.63
hotel	month	1.81
hypertension	reason	2.31
image	surface	4.56
importance	morality	3.31
industry	opera	2.63
information	precedent	3.85
institution	practice	3.19
insurance	line	2.69
insurance	peace	2.94
isolation	situation	3.88
jaguar	tiger	8
jazz	rock	7.59
journey	voyage	9.29
kilometer	mile	8.66
kind	type	8.97
king	queen	8.58
king	rook	5.92
life	term	4.5
life	stock	0.92
liquid	water	7.89
listing	proximity	2.56
live	stock	3.73
lobster	seafood	8.7
lobster	wine	5.7
loss	profit	7.63
magician	wizard	9.02
mammal	tiger	6.85
man	woman	8.3
manslaughter	murder	8.53
marathon	sprint	7.47
marriage	morality	3.69
Mars	water	2.94
match	start	4.47
medal	president	3
media	radio	7.42
media	trading	3.88
midday	noon	9.29
minority	peace	3.69
money	operation	3.31
moon	planet	8.08
motto	volunteer	2.56
museum	theater	7.19
music	project	3.63
news	Wednesday	2.22
noon	string	0.54
opera	performance	6.88
peace	plan	4.75
phone	stock	1.62
place	street	6.44
planet	star	8.45
planet	sun	8.02
prejudice	recognition	3
professor	student	6.81
profit	warning	3.88
psychiatry	psychology	8.08
psychology	science	6.71
radio	television	6.77
recess	sign	2.38
serial	viewer	2.97
series	seven	3.56
shore	woodland	3.08
shower	thunderstorm	6.31
similarity	word	4.75
smart	student	4.62
smart	stupid	5.81
start	year	4.06
tiger	tiger	10